Smiles,Source
CC1CCC(CC1)c2cnc[nH]2,Enamine
Cc1cn(C)nc1c2cnc[nH]2,Enamine
COc1c(C)cc(cc1C)c2cnc[nH]2,Enamine
C1CCc2sc(cc2C1)c3cnc[nH]3,Enamine
COc1ccc2ccccc2c1c3cnc[nH]3,Enamine
C1CC1c2cccc(c2)c3cnc[nH]3,Enamine
COC(=O)c1cc(cn1C)c2cnc[nH]2,Enamine
COCC1(CCCCO1)c2cnc[nH]2,Enamine
CC(C)Cn1nccc1c2cnc[nH]2,Enamine
Cc1cc(F)cc(c1)c2cnc[nH]2,Enamine
COC(=O)c1cnn(C)c1c2cnc[nH]2,Enamine
COC(=O)c1ccc(cc1C)c2cnc[nH]2,Enamine
COC(=O)c1c(C)n(C)c(C)c1c2cnc[nH]2,Enamine
C1CC1c2ccccc2c3cnc[nH]3,Enamine
CC(C)n1nc(C)c(c1C)c2cnc[nH]2,Enamine
CC(C)c1ncc(s1)c2cnc[nH]2,Enamine
C1CCN(C1)c2ccc(cn2)c3cnc[nH]3,Enamine
Cc1ccccc1c2cccc(c2)c3cnc[nH]3,Enamine
C1CC(CS1)c2cnc[nH]2,Enamine
CN(C)c1ncccc1c2cnc[nH]2,Enamine
CN(C)c1nc(C)c(s1)c2cnc[nH]2,Enamine
COc1ncc(cc1C)c2cnc[nH]2,Enamine
CCOc1ccc(c(C)c1)c2cnc[nH]2,Enamine
Cc1nccnc1c2cnc[nH]2,Enamine
CC(C)(C)n1cc(cn1)c2cnc[nH]2,Enamine
CC(C)c1ccccc1c2cnc[nH]2,Enamine
C#CCCc1scnc1C2CC2,Enamine
CC1(CO1)c2scnc2C3CC3,Enamine
C#CCc1scnc1C2CC2,Enamine
C#Cc1scnc1C2CC2,Enamine
C=CC(=O)c1scnc1C2CC2,Enamine
C1CC1c2ncsc2C3CO3,Enamine
CC(=O)Cc1scnc1C2CC2,Enamine
C1CCn2cc(nc2C1)c3cnc[nH]3,Enamine
Cc1cscc1c2cnc[nH]2,Enamine
Cn1nncc1c2cnc[nH]2,Enamine
CC(=O)c1scnc1C2CC2,Enamine
CC(C)c1nc(cs1)c2cnc[nH]2,Enamine
C1Cc2cccc(c2C1)c3cnc[nH]3,Enamine
CCn1ccc(n1)c2cnc[nH]2,Enamine
N#Cc1ccc(s1)c2cnc[nH]2,Enamine
C1CC1c2ncsc2[C@@H]3CO3,Enamine
Cc1ncc(s1)c2cnc[nH]2,Enamine
Cc1cccc(F)c1c2cnc[nH]2,Enamine
SCCCc1scnc1C2CC2,Enamine
SCCc1scnc1C2CC2,Enamine
SCc1scnc1C2CC2,Enamine
C1CC1c2ncsc2c3cn[nH]c3,Enamine
C1CC1c2ncsc2c3cnc[nH]3,Enamine
CC(=O)CCc1scnc1C2CC2,Enamine
CC(=O)C=Cc1scnc1C2CC2,Enamine
Cc1cc(nn1C)c2cnc[nH]2,Enamine
C1CC2CC1CC2c3cnc[nH]3,Enamine
COC(=O)c1ccc(nc1)c2cnc[nH]2,Enamine
Cc1cc(c(C)s1)c2cnc[nH]2,Enamine
COc1nc(sc1c2cnc[nH]2)N(C)C,Enamine
CCN1CCc2cc(ccc12)c3cnc[nH]3,Enamine
CC(C)Cn1c(C)cc(c1C)c2cnc[nH]2,Enamine
CCCc1ccc(s1)c2cnc[nH]2,Enamine
